block,target_word,target_pitch,correct_resp,cue_type,ear,cue_file,target_file,thisN,thisTrialN,thisRepN,key_resp.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,iti,trial.started,fixation_cross.started,key_resp.started,orienting_cue.started,orienting_cue.stopped,target.started,target.stopped,key_resp.stopped,trial.stopped,trials.key_resp.keys,fixation_cross.stopped,participant,session,date,expName,psychopyVersion,expStart,
1,day,LP,up,alerting,left,audio_files/alerting_cue.wav,audio_files/day_LP_left.wav,0,0,0,None,0,0,0,16,0.03490140000030806,,[0.84494377],0.0320198999997956,0.03490140000030806,0.8466130000015255,0.8467282666681665,0.9469128000000637,1.3471473666670741,2.4313246000001527,2.5479853000015282,3.0323648000012327,None,,097451,001,2025-10-28_12h02.23.337,AuditoryANT,2024.2.4,2025-10-28 12h02.25.404667 -0700,
1,high,HP,up,orienting,right,audio_files/orienting_right.wav,audio_files/high_HP_right.wav,1,1,0,None,0,1,1,15,3.0534451000003173,,[0.63100743],3.0512902999998914,3.0534451000003173,3.6658437000005506,3.665708566666823,3.7666743000008864,4.166125966667338,4.800027299999783,5.367334700000356,5.851172000000588,None,,097451,001,2025-10-28_12h02.23.337,AuditoryANT,2024.2.4,2025-10-28 12h02.25.404667 -0700,
1,day,LP,up,orienting,left,audio_files/orienting_left.wav,audio_files/day_LP_left.wav,2,2,0,None,0,2,2,18,5.884827800000494,,[1.26698646],5.882561700000224,5.884827800000494,7.118703699999969,7.118780766666775,7.223857500001031,7.619132866666647,8.703420600000754,8.820126500000697,9.07080600000154,None,9.096514800001387,097451,001,2025-10-28_12h02.23.337,AuditoryANT,2024.2.4,2025-10-28 12h02.25.404667 -0700,
1,day,LP,up,orienting,right,audio_files/orienting_right.wav,audio_files/day_LP_right.wav,3,3,0,None,0,3,3,19,9.096514800001387,,[0.96718564],9.094430700000885,9.096514800001387,10.03775350000069,10.037771366667828,10.144370200001504,10.53833066666654,11.605752800000118,11.739231100000325,12.223391999999876,None,,097451,001,2025-10-28_12h02.23.337,AuditoryANT,2024.2.4,2025-10-28 12h02.25.404667 -0700,
1,high,LP,down,alerting,right,audio_files/alerting_cue.wav,audio_files/high_LP_right.wav,4,4,0,None,0,4,4,9,12.25026010000147,,[0.80932409],12.248090600000069,12.25026010000147,13.040384699999777,13.040278666667534,13.140646700001525,13.5406634666672,14.6248441000007,14.741748300000836,15.22578870000143,None,,097451,001,2025-10-28_12h02.23.337,AuditoryANT,2024.2.4,2025-10-28 12h02.25.404667 -0700,
1,low,HP,down,orienting,right,audio_files/orienting_right.wav,audio_files/low_HP_right.wav,5,5,0,,0,5,5,7,15.245686899999782,,[1.30766416],15.243394600000101,15.245686899999782,,,,,,,,,,,,,,,,
