block,target_word,target_pitch,cue_type,cue_file,target_file,correct_resp,ear,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,iti,trial.started,fixation_cross.started,key_resp.started,orienting_cue.started,orienting_cue.stopped,target.started,target.stopped,fixation_cross.stopped,key_resp.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,expStart,
1,day,LP,alerting,audio_files/alerting_cue.wav,audio_files/day_LP_left.wav,down,left,0,0,0,None,,,0,0,0,16,0.023898400000689435,,[1.55498873],0.02052670000011858,0.023898400000689435,1.5605083999998897,1.5605461666675788,1.6644057000012253,2.0608380666674444,3.144959799999924,3.228337399999873,3.2670426000004227,3.2454256000000896,None,,,618544,001,2025-10-28_11h31.20.913,AuditoryANT,2024.2.4,2025-10-28 11h31.22.606562 -0700,
1,high,HP,orienting,audio_files/orienting_right.wav,audio_files/high_HP_right.wav,up,right,1,1,0,up,1.1475322999995115,None,0,1,1,15,3.2670426000004227,,[1.44858723],3.2648919000002934,3.2670426000004227,4.696346900000208,4.696298066666956,4.796372300001167,5.196626266666741,5.830547300000035,,,5.859674299999824,up,1.1475322999995115,None,618544,001,2025-10-28_11h31.20.913,AuditoryANT,2024.2.4,2025-10-28 11h31.22.606562 -0700,
1,day,LP,orienting,audio_files/orienting_left.wav,audio_files/day_LP_left.wav,down,left,2,2,0,None,,,0,2,2,18,5.879195900000923,,[0.85786163],5.876834599999711,5.879195900000923,6.731297399999676,6.731496366667003,6.833411200001137,7.231755266666611,8.315959200001089,,8.432714399999895,8.916929099999834,None,,,618544,001,2025-10-28_11h31.20.913,AuditoryANT,2024.2.4,2025-10-28 11h31.22.606562 -0700,
1,day,LP,orienting,audio_files/orienting_right.wav,audio_files/day_LP_right.wav,down,right,3,3,0,down,1.4857891999999993,None,0,3,3,19,8.951311500000884,,[0.8147495],8.948458700000629,8.951311500000884,9.733700799999497,9.733837166666733,9.833617399999639,10.234259266666657,,,,11.235919599999761,down,1.4857891999999993,None,618544,001,2025-10-28_11h31.20.913,AuditoryANT,2024.2.4,2025-10-28 11h31.22.606562 -0700,
1,high,LP,alerting,audio_files/alerting_cue.wav,audio_files/high_LP_right.wav,down,right,4,4,0,None,,,0,4,4,9,11.273784000000887,,[0.43967406],11.27160829999957,11.273784000000887,11.702099300000555,11.70197336666776,11.802315200000521,12.202364666667807,13.287002400000347,,13.403536199999508,13.887599800000316,None,,,618544,001,2025-10-28_11h31.20.913,AuditoryANT,2024.2.4,2025-10-28 11h31.22.606562 -0700,
1,low,HP,orienting,audio_files/orienting_right.wav,audio_files/low_HP_right.wav,up,right,5,5,0,up,1.559405500000139,None,0,5,5,7,13.908833800000139,,[0.64730817],13.906411500000104,13.908833800000139,14.537664999999834,14.537832666667116,14.642331700000796,15.03821156666733,15.638702899999771,,,16.106605400000262,up,1.559405500000139,None,618544,001,2025-10-28_11h31.20.913,AuditoryANT,2024.2.4,2025-10-28 11h31.22.606562 -0700,
1,day,LP,alerting,audio_files/alerting_cue.wav,audio_files/day_LP_right.wav,down,right,6,6,0,down,1.4889849000010145,None,0,6,6,17,16.13895860000048,,[1.2459095],16.136087599999883,16.13895860000048,17.356874299999618,17.356674266666474,17.456831200001034,17.857046666666307,,,,18.85879720000048,down,1.4889849000010145,None,618544,001,2025-10-28_11h31.20.913,AuditoryANT,2024.2.4,2025-10-28 11h31.22.606562 -0700,
1,day,HP,orienting,audio_files/orienting_right.wav,audio_files/day_HP_right.wav,up,right,7,7,0,up,1.2434068000002299,None,0,7,7,23,18.893570700000055,,[1.1925754],18.890670700000555,18.893570700000055,20.075737999999546,20.07564576666688,20.182326000000103,20.57610336666791,21.210011600000144,,,21.327564600000187,up,1.2434068000002299,None,618544,001,2025-10-28_11h31.20.913,AuditoryANT,2024.2.4,2025-10-28 11h31.22.606562 -0700,
1,low,HP,orienting,audio_files/orienting_left.wav,audio_files/low_HP_left.wav,up,left,8,8,0,None,,,0,8,8,6,21.347154000000955,,[0.942718],21.344231400000353,21.347154000000955,22.27730359999987,22.27735656666688,22.381848799999716,22.777851266666644,23.378610699999626,,23.978902099999686,24.462657000000036,None,,,618544,001,2025-10-28_11h31.20.913,AuditoryANT,2024.2.4,2025-10-28 11h31.22.606562 -0700,
1,high,LP,orienting,audio_files/orienting_left.wav,audio_files/high_LP_left.wav,down,left,9,9,0,None,,,0,9,9,10,24.479127000000517,,[1.12849042],24.47568080000019,24.479127000000517,25.596818899999562,25.596938166667556,25.696914500000275,26.09743606666622,27.181555999999546,27.689995000000636,27.298294700000042,27.665833900000507,None,,,618544,001,2025-10-28_11h31.20.913,AuditoryANT,2024.2.4,2025-10-28 11h31.22.606562 -0700,
1,low,LP,orienting,audio_files/orienting_right.wav,audio_files/low_LP_right.wav,down,right,10,10,0,,,,0,10,10,3,27.689995000000636,,[1.48195805],27.687646100001075,27.689995000000636,29.149688600000445,29.149858366667345,29.253902200000084,29.650184666667215,,,,,,,,,,,,,,
