target_word,target_pitch,correct_resp,cue_type,ear,cue_file,target_file,thisN,thisTrialN,thisRepN,key_resp.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,iti,trial.started,fixation_cross.started,key_resp.started,orienting_cue.started,orienting_cue.stopped,target.started,target.stopped,key_resp.stopped,trial.stopped,trials.key_resp.keys,fixation_cross.stopped,participant,session,date,expName,psychopyVersion,expStart,
high,LP,down,orienting,left,audio_files/orienting_left.wav,audio_files/high_LP_left.wav,0,0,0,None,0,0,0,16,0.025903400000970578,,[0.8240022],0.022850199999083998,0.025903400000970578,0.827192600001581,0.8271128666676911,0.9273055000012391,1.3277868666666715,2.411687299998448,2.5287996000006387,3.012784599999577,None,,726860,001,2025-10-28_12h19.00.526,AuditoryANT,2024.2.4,2025-10-28 12h19.02.383977 -0700,
high,LP,down,alerting,right,audio_files/alerting_cue.wav,audio_files/high_LP_right.wav,1,1,0,None,0,1,1,15,3.0370536999980686,,[1.01874766],3.0349296999993385,3.0370536999980686,4.04660000000149,4.046761366666275,4.146609799998259,4.547017666667913,5.631239400001505,5.7479027999979735,6.215512200000376,None,,726860,001,2025-10-28_12h19.00.526,AuditoryANT,2024.2.4,2025-10-28 12h19.02.383977 -0700,
high,HP,up,none,left,audio_files/alerting_cue.wav,audio_files/high_HP_left.wav,2,2,0,None,0,2,2,18,6.236927599999035,,[1.39583634],6.234673700000712,6.236927599999035,7.616216099999292,7.616072066666917,7.716277200001059,8.116455766667302,8.750441899999714,9.317685300000448,9.434868699998333,None,9.450792799998453,726860,001,2025-10-28_12h19.00.526,AuditoryANT,2024.2.4,2025-10-28 12h19.02.383977 -0700,
high,HP,up,none,right,audio_files/alerting_cue.wav,audio_files/high_HP_right.wav,3,3,0,None,0,3,3,19,9.450792799998453,,[1.06582307],9.443762999999308,9.450792799998453,10.501696600000287,10.501717866667848,10.603730599999835,11.002447666666074,11.636222299999645,12.203210899999249,12.63748040000064,None,12.66264930000034,726860,001,2025-10-28_12h19.00.526,AuditoryANT,2024.2.4,2025-10-28 12h19.02.383977 -0700,
low,HP,up,alerting,right,audio_files/alerting_cue.wav,audio_files/low_HP_right.wav,4,4,0,None,0,4,4,9,12.66264930000034,,[0.94402116],12.65957730000082,12.66264930000034,13.587794700000813,13.587775366664816,13.692721100000199,14.088197766665205,14.688752400001249,15.289176099999167,15.773401999998896,None,,726860,001,2025-10-28_12h19.00.526,AuditoryANT,2024.2.4,2025-10-28 12h19.02.383977 -0700,
low,HP,up,none,right,audio_files/alerting_cue.wav,audio_files/low_HP_right.wav,5,5,0,None,0,5,5,7,15.794567100001586,,[1.07791973],15.79162979999819,15.794567100001586,16.857065699998202,16.857225966665524,16.95722350000142,17.357688166667018,17.95797699999821,18.558430699999008,18.992791299999226,None,19.02184009999837,726860,001,2025-10-28_12h19.00.526,AuditoryANT,2024.2.4,2025-10-28 12h19.02.383977 -0700,
high,LP,down,orienting,right,audio_files/orienting_right.wav,audio_files/high_LP_right.wav,6,6,0,None,0,6,6,17,19.02184009999837,,[0.8828854],19.019718899999134,19.02184009999837,19.876452600001357,19.876262266665677,19.982505500000116,20.376588466664785,21.460872499999823,21.577731199999107,22.06191469999976,None,,726860,001,2025-10-28_12h19.00.526,AuditoryANT,2024.2.4,2025-10-28 12h19.02.383977 -0700,
high,HP,up,orienting,right,audio_files/orienting_right.wav,audio_files/high_HP_right.wav,7,7,0,None,0,7,7,23,22.083405099998345,,[1.26212259],22.08101650000026,22.083405099998345,23.329184900001565,23.329070566666147,23.429291600001307,23.829462066667716,24.463399500000378,25.030479500001093,25.281223499998305,None,25.300966899998457,726860,001,2025-10-28_12h19.00.526,AuditoryANT,2024.2.4,2025-10-28 12h19.02.383977 -0700,
low,HP,up,none,left,audio_files/alerting_cue.wav,audio_files/low_HP_left.wav,8,8,0,,0,8,8,6,25.300966899998457,,[0.80698162],25.29800229999819,25.300966899998457,26.09829869999885,26.09798996666747,26.203049499999906,26.59854106666559,27.199177999998938,27.79960679999931,,,,,,,,,,
