target_word,target_pitch,correct_resp,cue_type,ear,cue_file,target_file,thisN,thisTrialN,thisRepN,key_resp.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,iti,trial.started,fixation_cross.started,key_resp.started,orienting_cue.started,orienting_cue.stopped,target.started,target.stopped,key_resp.stopped,fixation_cross.stopped,trial.stopped,trials.key_resp.keys,participant,session,date,expName,psychopyVersion,expStart,
high,LP,down,orienting,left,audio_files/orienting_left.wav,audio_files/high_LP_left.wav,0,0,0,None,0,0,0,16,0.03105200000027253,,[1.38382375],0.028195000000778236,0.03105200000027253,1.3933921000007103,1.393382366666871,1.4975696000001335,1.893770666667721,2.9781029999994644,3.094685300000492,3.2523524000007455,3.228630100000373,None,749310,001,2025-10-28_12h14.14.000,AuditoryANT,2024.2.4,2025-10-28 12h14.16.327156 -0700,
high,LP,down,alerting,right,audio_files/alerting_cue.wav,audio_files/high_LP_right.wav,1,1,0,None,0,1,1,15,3.2523524000007455,,[0.51803521],3.250267100000201,3.2523524000007455,3.762038000000757,3.7619034666661415,3.86617970000043,4.262284066666568,5.346693100000266,5.463531600000351,,5.930892599999424,None,749310,001,2025-10-28_12h14.14.000,AuditoryANT,2024.2.4,2025-10-28 12h14.16.327156 -0700,
high,HP,up,none,left,audio_files/alerting_cue.wav,audio_files/high_HP_left.wav,2,2,0,None,0,2,2,18,5.955123300000196,,[0.74967467],5.952741500001139,5.955123300000196,6.681084800000463,6.6810592666663675,6.7864148000007845,7.181484066666841,7.815527500000826,8.382604399999764,,8.866711200000282,None,749310,001,2025-10-28_12h14.14.000,AuditoryANT,2024.2.4,2025-10-28 12h14.16.327156 -0700,
high,HP,up,none,right,audio_files/alerting_cue.wav,audio_files/high_HP_right.wav,3,3,0,None,0,3,3,19,8.885467500000232,,[1.2356157],8.883108500000162,8.885467500000232,10.117311500000142,10.117129266666113,10.219165900000007,10.61758576666786,11.251495200000136,11.818786499999987,12.08789600000091,12.069325599999502,None,749310,001,2025-10-28_12h14.14.000,AuditoryANT,2024.2.4,2025-10-28 12h14.16.327156 -0700,
low,HP,up,alerting,right,audio_files/alerting_cue.wav,audio_files/low_HP_right.wav,4,4,0,,0,4,4,9,12.08789600000091,,[1.24007473],12.085487700000158,12.08789600000091,13.31992480000008,13.319796166666736,13.420074999999997,13.820184466667586,14.420882200000051,,,,,,,,,,,
